time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2016/05/14/16:16:31.529390,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:31.579436,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:31.629462,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:31.679392,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:31.729500,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:31.779693,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:31.829397,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:31.879491,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:31.929545,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:31.979402,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.029431,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.079509,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.129439,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.179457,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.229385,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.279448,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.329388,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.379372,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.429339,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.479399,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.529360,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.579348,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.629451,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.679367,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.729425,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.779332,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.829429,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.879381,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.929282,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:32.979347,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.029387,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.079322,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.129363,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.179370,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.229322,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.279371,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.329360,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.379346,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.429378,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.479456,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.529367,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.579397,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.629481,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.679407,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.729390,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.779407,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.829468,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:33.879403,1.0,0.0,0.0,0.0,0.0,0.0
